Ext.ID,raw_count,unmapped_count,mapped_count,host_count,human_count,unmapped_avlength,mapped_avlength,p_Sediment.Soil,p_Skin,p_aOral,p_mOral,p_Unknown,classified,unclassified,Bacteria,Archaea,Eukaryota,Viruses,species_raw
DM_013,6410092,4844442,1086431,1078103,8328,63.2,54.51,3.9,2.1,25.2,17.4,51.4,12.3,87.7,10.4,1.3,0.59,0,8138
MS_020,14707571,12644720,1135654,1133478,2176,68.97,71.67,6.7,8.5,29.4,10.2,45.2,20.9,79.1,20.8,0,0.07,0,9230
RM_209,4524496,2603400,1205258,1140502,64756,52.44,72.98,6.5,11,10.3,23.6,48.5,28.2,71.8,26.4,0,1.78,0,5467
MV_282,4802547,3047084,1161088,1156333,4755,50.89,55.54,2.4,1.1,8.4,12.4,75.8,4.2,95.8,4,0,0.21,0,5382
MV_074,13944715,12172154,1200752,1195820,4932,73.46,67.96,7.5,3.2,17.1,15.1,57.1,26.3,73.7,26.1,0,0.18,0,8971
RM_137,22993997,19641458,1207922,1199125,8797,58.89,58.94,5.2,6.8,15.9,15.9,56.2,10.6,89.5,10.4,0,0.06,0,9452
RM_096,5748369,3574762,1330478,1200375,130103,56.87,55.97,3.4,4.7,29.4,34.8,27.7,13.9,86.1,11.9,0,1.98,0,7144
MV_210,9383429,7454903,1268427,1265031,3396,64.58,60.47,9.2,2.7,16.4,26.7,45,14.9,85.1,14.7,0,0.13,0,8904
RM_072,26343599,20258106,1427443,1274573,152870,54.05,48.16,1.8,1.6,50,31.2,15.4,14.1,85.9,13.9,0,0.23,0,9215
HM_061,4376677,1670232,1314565,1309096,5469,70.21,61.39,7.4,11.8,20.4,19.1,41.2,18.1,81.9,16.5,0,1.6,0,5140
MV_223,6039610,3503146,1337201,1326671,10530,47.74,50.89,8.5,3.5,18,13.4,56.7,10.7,89.3,10.5,0,0.18,0,6291
MV_099,8228926,6270754,1402196,1398799,3397,55.13,52.69,3,1.2,41.2,20.3,34.3,12.9,87.2,10.1,2.7,0.04,0,8468
RM_122,8272907,3642887,1538971,1513858,25113,57.06,56.09,0.6,2.9,10.2,13.8,72.7,5.7,94.3,5.3,0,0.39,0,5543
RM_118,10412805,7034875,1561190,1551599,9591,56.79,52.1,3.7,15,11.7,33.7,36,21.6,78.4,21.5,0,0.08,0,7599
MV_281,10137777,6405736,1694403,1688908,5495,48.57,59.14,7.9,3.9,21.9,17.7,48.5,9.6,90.4,9.2,0.3,0.09,0,7648
RM_180,38381719,29614465,1853736,1690238,163498,52.58,50.06,1.3,1.4,59.5,29.1,8.7,9,91,8.7,0.1,0.13,0,9500
MS_005,13491933,10119250,1950156,1946740,3416,65.71,77.22,11.7,5.2,17.6,17.7,47.8,21.1,78.9,20.9,0,0.15,0,8442
MV_072p,8587196,5737810,2012636,2003776,8860,58.63,61.45,6.6,4.2,26.7,15.2,47.4,13.7,86.3,13,0,0.63,0,8438
MV_216,11222375,7884707,2052468,2027164,25304,67.2,65.52,5.2,3.8,20.1,38.7,32.2,23.8,76.2,23.3,0,0.45,0,8904
MV_104,17635474,12606998,2331531,2327263,4268,58.64,67.55,5.8,5.8,19.5,16.5,52.3,15.8,84.2,15.7,0,0.04,0,7959
HM_054,16371891,9110054,2500024,2429589,70435,45.46,48.07,2.3,6.2,12.4,14.8,64.4,5,95,4.6,0,0.39,0,5831
RM_130,6579915,3246624,3044449,3026966,17483,60.06,64.08,3.1,8.9,20.9,19.6,47.5,18.5,81.5,16.6,0,1.75,0,7495
DM_017,63267393,54274118,3186179,3152792,33387,61.72,62.32,4.2,1.4,23.3,12.1,59,10.4,89.6,9.3,0.9,0.17,0,9939
MV_095,11848133,7374048,3238559,3222899,15660,55.21,54.54,8.4,28.6,11.1,8.1,43.7,36,64,35.4,0,0.42,0.1,7608
HM_063,15736908,10273900,3354988,3327932,27056,56.33,53.57,2.7,3,16.8,22.1,55.3,9.4,90.6,9,0,0.28,0,7271
DM_014,10095248,4888531,3458382,3438717,19665,58.59,57.98,3.5,3.4,37.6,26.3,29.3,11.7,88.3,9.9,0.2,1.64,0,7538
