Ext ID,Museum,Sampling date,Catalogue/accession,Species,Collection notes,Sex,Age,Year,Country,Region,Locality,Oral health,Appearance,Sampling comments,Ext Date,Sample weight (g),Pigmented_extract,Qubit concentration (ng/ul),LP date,Extract vol used,LP copies ,Ind date,LP vol used,Ind cycles,Ind copies,Pool,Pooled volume (ul)
MS_116,NMS,20230504,Z.2019.6.4466,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT CY046",male,71 months ,2018,Scotland,St. Kilda,Hirta,,,deformity or decay on third lower molar right side (photo),20230801,0.015,TRUE,5.05,20230810,10,6.99E+06,20230908,12,11,9.85E+05,,
MS_124,NMS,20230522,Z.2014.52.320,Ovis aries,Blackface; Dick Vet Coll ,,adult,1874,Scotland,,Lanark,,,,20230719,0.021,TRUE,32,20230801,10,7.87E+06,20230905,12,11,2.94E+05,,
MS_128,NMS,20230522,Z.2014.52.505,Ovis aries,Dick Vet Coll; Soay sheep ,male,adult,,,,Woburn,,light-coloured,glue on teeth,20230828,0.028,TRUE,0.382,,,,,,,,,
MV_017,NHM Vienna,20230208,NMW 63942,Capreolus capreolus,"Wolfern, OÖ 26 Dez 2002Sankt Ulrich bei Steyr, OÖ 26 Okt 2002 Blumenschein Johann",female,,2002,Austria,,,,,,20230703,0.007,TRUE,9.79,20230706,20,4.09E+08,20230818,18,11,1.74E+08,Pool D,5
MV_023,NHM Vienna,20230208,NMW 15631,Capreolus capreolus,"Hainfeld-Sahngraben GB Hainfeld PB Lilienfeld, NÖ 5 June 1943 Karl Zalesky",male,,1943,Austria,,,,,,20230703,0.01,TRUE,5.81,20230831,10,9.37E+05,20230920_remainder,12,14,2.43E+06,,
MV_033,NHM Vienna,20230209,NMW 4551,Capreolus capreolus,"Prünst, Gem. Rohrbach a.d. Gölsen, GB Hainfeld, PB Lilienfeld, Niederösterreich 6 Aug 1934 Karl Zalesky leg. et don.",male,,1934,Austria,,,,,,20230717,0.014,TRUE,1.94,20230721,20,1.25E+06,20230920_3-3,10,14,1.33E+04,,
MV_034,NHM Vienna,20230209,NMW 15625,Capreolus capreolus,"Rohrbach a.d. Gölsen, GB Hainfeld, PB Lilienfeld, Niederösterreich 26 Nov 1937 Coll Zalesky leg. J, Furtner",male,,1937,Austria,,,,,dirty,20230717,0.012,TRUE,6.91,20230721,20,3.14E+08,20230920_3-3,10,11,4.17E+04,,
MV_035,NHM Vienna,20230209,NMW 10078,Capreolus capreolus,Waidhofen a.d. Ybbs GJ waidhofen adj PB Amsteffen NÖ Forstrerul Waidhofen,male,,1964,Austria,,,bone deformation/growth lowe left jaw at rear molar,,missing left side of skull,20230717,0.023,TRUE,2.18,20230721,20,3.53E+08,20230920_3-3,10,11,4.29E+04,,
MV_036,NHM Vienna,20230209,NMW 124,Capreolus capreolus,Mannsworth Gem + GB Schechat PB Wien-Umgebung Niederösterreich Rer-Jäger L Seipt Leg et don,,,1891,Austria,,,,,,20230717,0.014,TRUE,7.86,20230721,20,1.63E+09,20230920_3-3,10,11,3.41E+09,Pool C,4
MV_037,NHM Vienna,20230209,NMW 2839,Capreolus capreolus,"Krumbach, Gb Kirschlag, PB Wiener Neustadt Niederösterreich Josef Steuren leg et don 28 Juni 1926",male,,1926,Austria,,,,thick black,dirty. White dust and spots insect evidence. Smells like tortilla chips,20230717,0.022,TRUE,9.4,20230721,20,4.29E+08,20230920_3-3,10,11,6.02E+04,,
MV_049,NHM Vienna,20230210,NMW 8707,Capreolus capreolus,"Geoggnitz, Bez. Neunkirchen, NO 18 Sep 1962 v.H.Urschitz fet(?)",male,,1962,Austria,,,,,,20230808,0.013,TRUE,12.8,20230816,10,1.08E+07,20230908,12,11,1.67E+07,Pool D,5
MV_085,NHM Vienna,20230214,NMW 23369,Meles meles,"HeiligenKrenzerwiese, Baden, GB+PB Baden Niederosterreich Coll. Zalesky",,,1936,Austria,,,,,,20230723,0.014,TRUE,36.4,20230727,20,6.22E+08,20230905,12,11,2.72E+06,,
MV_112,NHM Vienna,20230216,NMW F1130,Capreolus capreolus,"Neusiedl am See, B 17 Sept 1992 Sehnal Peter",?,,1992,Austria,,, , , ,20230726,0.023,TRUE,35.9,20230809,5,2.92E+08,20230907,12,11,4.44E+10,Pool B,2
MV_122,NHM Vienna,20230220,NMW 4636,Rupicapra rupicapra,"Schneealpe, Gem Altenburg a.d. Rax Steiermark 29 Feb 1909 Prof J Knotek don",male,,1909,Austria,,,,large plaques,,20230707,0.018,TRUE,10.8,20230712,20,1.10E+08,20230720,12,10,5.12E+07,Pool D,5
MV_123,NHM Vienna,20230220,NMW 41950,Rupicapra rupicapra,"Trarúschacht (KN 1625/411) Tauplitzalm, GB Irdning, PB Liezen Steiermark 25 Mai 1990 R. Greilingerleg",,,1990,Austria,,,,,,20230707,0.02,TRUE,22,20230712,20,1.12E+07,20230818,18,11,1.15E+06,,
MV_125,NHM Vienna,20230220,NMW 4639,Rupicapra rupicapra,"NE Steir. Kalkalpen, Steiermark Prof J Knotek leg et don",male,,1900-1920,Austria,,,,,,20230707,0.014,TRUE,4.73,20230831,10,1.08E+05,,,,,,
MV_128,NHM Vienna,20230220,NMW 4591,Rupicapra rupicapra,"NE Steir. Kalkalpen, Steiermark Prof J Knotek leg et don",male,,1900-1920,Austria,,,,,,20230723,0.021,TRUE,13,20230727,20,3.71E+07,20230905,12,11,2.10E+05,,
MV_129,NHM Vienna,20230220,NMW 41373,Rupicapra rupicapra,"Wildalpen, GB St Gallen PB Liezen Steiermark um 1910-1920 Alfred Weidholz don",,,1910-1920,Austria,,,,massive thick plaque,,20230723,0.023,TRUE,33.7,20230727,20,6.26E+05,,,,,,
MV_132,NHM Vienna,20230220,NMW 148,Rupicapra rupicapra,"Eisenerz, Gem + Gb Eisenrz 11 Apr 1891 k.u.k. Famiien-Fondsgüter-Dion don",female,,1891,Austria,,,,massive thick plaque,right lower jaw bone deformation/swollen,20230814,0.023,TRUE,8.08,20230821,10,4.70E+06,20230908,12,11,8.12E+06,,
MV_134,NHM Vienna,20230220,NMW 4635,Rupicapra rupicapra,"Schneealpe, Gem. Altenberg a.d. Rax, Steiermark 12 Dez 1918 Prof J Knotek leg et don",male,,1918,Austria,,,,,,20230814,0.027,TRUE,13.9,20230821,5,7.56E+06,20230908,12,11,2.08E+08,Pool D,5
MV_136,NHM Vienna,20230220,NMW 72553,Rupicapra rupicapra,"Köflach, Voitsberg, Steiermark, Osterreich 2016/3/18 Eva Stangl leg, Universitat Graz via",,,2016,Austria,,,,,,20230814,0.018,TRUE,13.2,20230821,10,1.94E+07,20230908,12,11,8.36E+08,Pool D,5
MV_137,NHM Vienna,20230220,NMW 6095,Rupicapra rupicapra,"Sonnleitein, Klostertail, Gem. Gutenstein, Niederosterreich 6 Mara 1929 Forstrerwaltung Gutenstein (Hoyos-Springstein)",female,,1929,Austria,,,,,,20230814,0.034,TRUE,9.85,20230821,5,8.05E+05,20230920_remainder,12,14,3.11E+10,Pool B,3
MV_143,NHM Vienna,20230220,NMW 5552,Giraffa camelopardalis, ,female,,1916,Sudan,,,,,,20230713,0.029,TRUE,5.76,20230719,20,5.43E+07,20230905,12,11,3.18E+05,,
MV_147,NHM Vienna,20230221,NMW 5483,Giraffa camelopardalis,6.5 jahre in gelanhschaft 1.5 jahre wie angekohmien(?)  Schöder 25/I 1935,female,,1935,Kenya,,,,,,20230713,0.028,TRUE,14.8,20230719,20,1.58E+08,20230905,12,11,1.13E+06,,
MV_149,NHM Vienna,20230221,NMW 1936,Ovibos moschatus,"Wollaston-Vorland, Ost-Grönland Exped Graf E & K Hoyos-Sprinzenstein, Coll. Prof. Lorenz Ende Juli 1910",female,,1910,Greenland,,,,,,20230614,0.014,TRUE,0.678,20230620,20,2.62E+03,,,,,,
MV_150,NHM Vienna,20230221,NMW 1930,Ovibos moschatus,"Ymers Ore, Dusenfjord, Ost-Grönland, Grönland 21 Juli 1909 Exped v Öberlander, v. Lorenz & Architekt Kmunke ",female,,1909,Greenland,,,,,,20230614,0.03,TRUE,2.01,20230620,20,4.21E+03,,,,,,
MV_151,NHM Vienna,20230221,NMW 1937,Ovibos moschatus,"Wollaston-Vorland, Ost-Grönland Exped Graf E & K Hoyos-Sprinzenstein, Coll. Prof. Lorenz Ende Juli 1910",female,,1910,Greenland,,,,,,20230614,0.015,TRUE,0.343,20230620,20,2.51E+03,,,,,,
MV_152,NHM Vienna,20230221,NMW 1931,Ovibos moschatus,"Ymers Ore, Dusenfjord, Ost-Grönland, Grönland 21 Juli 1909 Exped v Öberlander, v. Lorenz & Architekt Kmunke ",female,,1909,Greenland,,,,,,20230614,0.028,TRUE,2.91,20230620,20,4.21E+05,,,,,,
MV_170,NHM Vienna,20230223,NMW 818,Pongo pygmaeus,"Borneo/Kanomantan, Indonesien Novara-Expedition 1858-59 leg. (die Exped erhielt f.d.zool. Sammlungen 3 Schädel und 1 Handskelett)",,,1858,Indonesia,,,,,,20230723,0.013,TRUE,1.85,20230809,20,8.65E+04,,,,,,
