Ext.ID,merged_count,unmapped_count,mapped_count,host_count,human_count,phix_count,submitted_F_avlength,submitted_R_avlength,merged_avlength,unmapped_avlength,mapped_avlength,perc_unique,p_OralH,p_OralMM,p_OralTM,p_Rumen,p_Sediment.Soil,p_Skin,p_Unknown,submitted_count
LB_25,40,17,23,NA,23,0,46,34.6122448979592,26.9,40.7647058823529,17.9130434782609,71.4285714285714,NA,NA,NA,NA,NA,NA,NA,49
LB_26,27,19,8,NA,8,0,46.9090909090909,39.8484848484849,34.2962962962963,41.0526315789474,18.875,74.2424242424242,NA,NA,NA,NA,NA,NA,NA,66
LB_27,25,21,4,NA,4,0,50.9180327868852,51.7377049180328,36.4,39.8095238095238,19,75.4098360655738,NA,NA,NA,NA,NA,NA,NA,61
LB_28,80,71,9,NA,9,0,47.6842105263158,50.4812030075188,37.2,39.6619718309859,18.5555555555556,77.0676691729323,NA,NA,NA,NA,NA,NA,NA,133
LB_2,6,4,2,NA,2,0,39,46.3076923076923,29,36,15,61.5384615384615,NA,NA,NA,NA,NA,NA,NA,26
LB_3,516,494,22,NA,22,0,39.3496240601504,38.1553884711779,36.1434108527132,37.0080971659919,17.0454545454545,42.8571428571429,NA,NA,NA,NA,NA,NA,NA,798
LB_4,146,93,53,NA,53,0,47.9083557951482,57.4474393530997,29.9041095890411,36.505376344086,18.4716981132075,40.9703504043127,NA,NA,NA,NA,NA,NA,NA,742
LB_5,273,126,147,NA,147,0,68.0897284533648,55.4344746162928,35.4908424908425,33.6349206349206,36.1020408163265,51.6528925619835,NA,NA,NA,NA,NA,NA,NA,847
LB_6,7818,6989,829,NA,829,0,53.3049038140776,41.8200822862226,37.7000511639806,40.0123050507941,17.5898673100121,18.9313910819526,NA,NA,NA,NA,NA,NA,NA,8993
LB_7,158,136,22,NA,22,0,65.1965065502183,64.4624454148472,40.2594936708861,43.3602941176471,20.5909090909091,22.9912663755459,NA,NA,NA,NA,NA,NA,NA,2290
LB_8,1091,389,702,NA,702,0,55.4795996920708,45.9507313317937,43.1640696608616,44.7480719794344,42.2849002849003,88.4141647421093,NA,NA,NA,NA,NA,NA,NA,1299
LB_9,287,153,134,NA,134,0,43.2821917808219,33.2164383561644,31.0174216027875,42.7058823529412,18.3208955223881,62.6027397260274,NA,NA,NA,NA,NA,NA,NA,365
maybe_DM_017,33374020,31274020,2100000,1927480,172520,0,65.7562113785681,65.4685393684871,58.3917997891773,58.6284315223946,54.8677819047619,94.2476005823341,40.5394,0.4276,7.3448,1.7496,4.231,2.2945,43.413,33435613
